,Date,Open(USD),High(USD),Low(USD),Close(USD),Volume,Market Cap(USD)
668,2017-06-06,246.20627744,265.96008975,244.88734059,263.22427411,708241.98878655,186426483.39265156
669,2017-06-07,262.73203534,263.61586998,245.92722452,254.12037875,441537.06016305,112203564.96089607
670,2017-06-08,254.41298359,259.66675330000004,249.65002248,258.31354629,356323.81351119,92043267.89449464
671,2017-06-09,258.24930922,279.00327814,258.24930922,279.00327814,419920.07444454,117159077.32802624
672,2017-06-10,278.84673733,347.74924946,278.84673733,334.6363787,881883.46717406,295110289.89181155
673,2017-06-11,334.00488939,349.24044314,315.96048475,337.55851816,595421.5423811999,200989613.52407324
674,2017-06-12,338.70109259,414.49673264,315.65753914,390.07574972,1388223.47487166,541512312.7331622
675,2017-06-13,393.1745764,396.43853517,358.59300337,386.74375953,612155.81509671,236747441.34870052
676,2017-06-14,386.85252992,391.28241838,319.69821786,342.28325871,914389.56152541,312980238.8456049
677,2017-06-15,342.65666219999997,348.25747523,268.00382444,343.53466599,1778416.41593696,610947689.4386415
678,2017-06-16,343.85594651,357.97654261,318.37360629,352.9882776,623141.72493588,219961724.187416
679,2017-06-17,352.89683779,365.87004236,341.91789511,365.87004236,386864.68365812,141542198.1969064
680,2017-06-18,366.04924442,376.97339311,340.75228132,351.14471107,440315.89225474,154614596.76639244
681,2017-06-19,350.91279987,360.39839563,348.70213957,357.30160843,277215.67997605,99049608.3379041
682,2017-06-20,357.65457607,364.92574831,328.16095099,349.59820127,532959.44566395,186321663.55181432
683,2017-06-21,349.23357589,351.78201528,282.0810732,322.87142946,987230.77796602,318748612.485364
684,2017-06-22,325.21788271,331.57262708,309.1309459,320.97221282,457198.40987601,146747985.3167094
685,2017-06-23,320.97940763,330.71085226,320.38377873,326.27230676,228290.72337482,74484940.92732857
686,2017-06-24,326.57903655,329.62812137,298.56968605,304.03718983,325528.91768959997,98972897.34403075
687,2017-06-25,303.63170855,309.12462112,254.01302919999998,278.83708448,713697.61821577,199005363.06716308
688,2017-06-26,278.86644659,291.0500867,212.43547488,256.58212911,1599581.58100338,410424047.7327016
689,2017-06-27,252.80841118,282.26494177,210.71796827,282.26494177,1301831.08830079,367461276.3381639
690,2017-06-28,283.8616005,321.72935706,260.22741589,314.42608916,1135115.5585815,356909945.83409333
691,2017-06-29,315.01561544,320.38024724,283.65228861,290.61904125,785074.21320897,228157515.15677452
692,2017-06-30,290.86200624,303.9765167,269.52844441,279.4045645,690050.01445691,192803123.77152693
693,2017-07-01,279.78354937,280.18265218,250.22357651,258.89368821,776664.47698081,201073530.9496392
694,2017-07-02,259.48276492,290.18310583,252.04650394,281.57911418,659076.62812051,185582213.12222347
695,2017-07-03,281.80254609,283.37043305,271.75148812,274.94309751,536737.77221517,147572345.64259452
696,2017-07-04,274.70884785,281.34964159,264.65752528,267.81111268,544037.6223309,145699320.97362506
697,2017-07-05,267.48068392,272.19237998,252.99878097,264.17111851,675795.77596452,178525726.0196336
698,2017-07-06,264.30090069,273.47956669,260.50896536,264.92657254,432083.11518585,114470298.75795446
699,2017-07-07,264.91084883,265.80452163,236.25117405,240.41911580000004,638191.21910937,153433368.6071608
700,2017-07-08,240.43740399,247.53435180000002,230.87447628,244.84176874,568340.08709937,139153392.17000282
701,2017-07-09,245.44053592,250.34594968,236.89587020000002,236.89587020000002,370360.39939084,87736849.10006325
702,2017-07-10,237.63545487,239.41300112,191.61120413,209.2906909,1181561.01136009,247289720.40788743
703,2017-07-11,203.64513171,215.08812886,174.43420706,192.29337274,1723104.45156526,331341566.5769671
704,2017-07-12,189.67029345,225.64471176,181.09516954,222.68131486,1248676.11808251,278056839.8026976
705,2017-07-13,223.69372946,226.04865385,192.61008944,205.14014164,859203.69149111,176257166.9691394
706,2017-07-14,205.29213974,206.75080319999998,182.21170422,198.42180763,875716.26211934,173761203.697733
707,2017-07-15,196.78122725,197.95986979,169.50062406,169.50062406,880921.48882452,149316742.10042924
708,2017-07-16,168.99234645,171.86690741,134.08107501,156.88981211,2184468.76206624,342720893.64715594
709,2017-07-17,156.09497154,190.06186258,154.75976349,189.10307602,1743792.93422037,329756607.79934955
710,2017-07-18,189.99852163,251.97779135,177.8226926,225.2858503,2651634.03673805,597375628.6546547
711,2017-07-19,226.96051414,243.81920861,189.21810807,193.37529373,2320836.84408287,448792506.43223727
712,2017-07-20,194.8271283,234.04779275,194.8271283,225.18958832,1973859.3839389,444492582.0792119
713,2017-07-21,226.34642861,236.1360262,209.71192998,217.38138689,947972.79487569,206071640.87945995
714,2017-07-22,216.24093202,234.70640530000003,215.64606988,230.22679708,622681.56702404,143357982.7779182
715,2017-07-23,230.06097766,233.21790857,219.82148339,228.10449669,509471.84235156,116212818.17604156
716,2017-07-24,227.60557724,229.31220196,223.72995691,225.18130268,383676.25084795,86396717.97324063
717,2017-07-25,225.50867399,226.02238871,193.4127795,204.93694224,1166791.65608872,239118714.22609952
718,2017-07-26,203.48275567,209.09173489,193.43024977,202.21623190000003,714672.74109427,144518428.7451123
719,2017-07-27,203.03184281,205.48785912,198.87361321,203.00464795,426260.15323006,86532792.33995424
720,2017-07-28,202.79952261,203.96875336,190.26963999999998,191.54817041,524958.08204913,100554760.15617159
721,2017-07-29,191.48675592,209.34538206,178.06885177,205.89196346,738536.58041368,152058746.62736592
722,2017-07-30,206.34773967,209.60817376,194.62287048,195.93697131,449232.63310661,88021281.54320309
723,2017-07-31,195.93692137,201.13907871,190.62871206,200.92199723,487239.62773623,97897159.13377632
724,2017-08-01,201.31123696,231.80888458,201.31123696,226.28552877,1228492.9560331001,277990178.1450065
725,2017-08-02,225.8766454,228.81678428,215.79410609,217.59878043,501147.72659608,109049134.12340522
726,2017-08-03,218.04957812,227.72428684,217.89583423,224.39330111,383483.28810377,86051080.93660358
727,2017-08-04,224.52251247,227.24617312,220.09635338,220.68082372,362666.00047338,80033431.72103326
728,2017-08-05,220.73251903,256.56772628,220.05254563,252.31989336,956440.46381615,241328955.8350522
729,2017-08-06,253.35715783,271.71011358,251.91564944,265.10554087,753561.63434902,199773364.65594763
730,2017-08-07,264.60137335,273.17064294,258.13389102,269.83447091,528964.15948957,142732764.10706627
731,2017-08-08,269.66861898,299.32663584,267.18789171,295.25644911,752786.40027385,222265039.48264658
732,2017-08-09,296.36494777,314.59663836,279.66234514,295.53586569,1350753.48847877,399196101.54671067
733,2017-08-10,295.51792610000007,310.14754919,289.62995163,299.63405932,515143.82208137,154354634.54141724
734,2017-08-11,298.51458997,310.24979527,296.21338838,310.24979527,438983.14629021,136194431.2626023
735,2017-08-12,309.303512,318.98205846,304.76551343,308.86020268,569845.26282504,176002523.37270018
736,2017-08-13,308.07314441,309.12921924,288.68124934,296.27900969,624432.89477419,185006359.6823692
737,2017-08-14,297.04381628,305.99005550000004,295.23155238,299.37677116,424208.90712858,126998292.91187578
738,2017-08-15,299.48651558,299.58602095,271.96835867,286.1345263,673965.97512122,192844935.0339169
739,2017-08-16,286.75683049,302.81335161,281.25567611,301.69165656,350027.21283595,105600289.68281096
740,2017-08-17,301.37315443,310.15540392,298.655589,300.57764473,419610.03824269,126125397.00172274
741,2017-08-18,300.62226963,306.46743645,287.89040195,293.16271843,473590.49526892,138839077.01766336
742,2017-08-19,292.60992022,298.79436496,284.63065543,293.92975101,409539.26031965,120375772.81376168
743,2017-08-20,293.49102438,298.37707845,288.93990036,297.74446833,269838.68140229,80342974.72978093
