,Date,BTC Closing Price,ETH Closing Price,XRP Closing Price,DOGE Closing Price,VET Closing Price,TUSD Closing Price,XVG Closing Price,AE Closing Price,STRAT Closing Price,LRC Closing Price,AOA Closing Price,QNT Closing Price,WAN Closing Price,ELA Closing Price,KCS Closing Price
73,2018-11-30,4012.0923579000014,113.1025036,0.36505524,0.0022706999999999996,0.004767,1.01,0.007484,0.5534439999999999,0.747683,0.043789,0.017962,1.18,0.395123,2.93,0.592118
74,2018-11-29,4273.89434568,117.45674926,0.38126761,0.00232747,0.005316,1.01,0.008128,0.600312,0.793894,0.048789,0.019235,1.2,0.445766,3.1,0.632787
75,2018-11-28,4260.25509769,122.36228771,0.390685,0.00232366,0.005242,1.01,0.008203,0.617843,0.815411,0.049615,0.019849000000000002,1.23,0.435973,3.17,0.651985
76,2018-11-27,3813.48133389,109.82789398,0.36275038,0.00222889,0.004421,1.01,0.006062,0.530749,0.678912,0.043805000000000004,0.017934000000000002,1.09,0.375472,2.86,0.57163
77,2018-11-26,3781.23279638,108.20702222,0.35935633,0.00220333,0.004334,1.01,0.005546,0.544008,0.66174,0.042259,0.017712000000000002,1.23,0.366213,2.75,0.564164
78,2018-11-25,4016.264014,116.50739106,0.37656586,0.00231862,0.004687,1.02,0.005921,0.582393,0.693936,0.042695,0.018997,1.06,0.394251,2.97,0.617532
79,2018-11-24,3860.02238685,113.01721403,0.37096303,0.00234936,0.004524,1.02,0.005686,0.574118,0.674405,0.041609,0.019587,0.982032,0.386161,2.88,0.587639
80,2018-11-23,4342.7235057,122.90707515,0.40515369,0.00243434,0.005164,1.01,0.0064,0.598712,0.809133,0.046762,0.021609,1.29,0.449396,3.23,0.6554260000000001
81,2018-11-22,4349.62801673,125.46304816,0.42135972,0.00248158,0.005262,1.02,0.006634,0.599417,0.7754489999999999,0.047229,0.0214,1.3,0.441106,3.3,0.677292
82,2018-11-21,4602.15536416,136.57962482,0.44469748,0.00255136,0.005799,1.01,0.007240000000000001,0.66286,0.8390799999999999,0.047955000000000005,0.019944999999999997,1.41,0.494745,3.51,0.744599
83,2018-11-20,4441.81124819,130.85229869,0.43105847,0.00244912,0.005296,1.02,0.006736,0.600378,0.7592300000000001,0.045071,0.019049,1.28,0.458469,3.2,0.692707
84,2018-11-19,4837.79524059,148.36030317,0.47348841,0.00259136,0.006034,1.01,0.00763,0.738096,0.8529459999999999,0.051971,0.020888999999999998,1.77,0.532387,5.04,0.832082
85,2018-11-18,5612.15535796,175.9534286,0.50820995,0.0027763,0.007662,1.01,0.00965,0.8837649999999999,1.08,0.069643,0.023434,2.19,0.685668,5.8,0.991231
86,2018-11-17,5557.54050919,173.19866243,0.48868322,0.00278617,0.007700,1.01,0.00958,0.8864,1.11,0.068699,0.023265,2.14,0.674497,5.77,0.9752629999999999
87,2018-11-16,5573.4164832,174.30843336,0.46809353,0.00295928,0.007722,1.01,0.009746,0.888302,1.05,0.071301,0.023199,2.15,0.676332,5.71,0.9870620000000001
88,2018-11-15,5646.65170714,180.62831306,0.48270962,0.0030636,0.007974,1.02,0.009976,0.9326909999999999,1.08,0.074287,0.023395,2.2,0.724315,5.67,0.989519
89,2018-11-14,5711.90602463,180.52623739,0.46329309,0.00300439,0.008370,1.01,0.010559,0.941166,1.13,0.077726,0.024222,2.22,0.750252,5.62,1.0
90,2018-11-13,6362.43585823,205.05463866,0.50547834,0.00308081,0.009241,1.01,0.012358,1.12,1.34,0.093355,0.026793,2.85,0.879717,6.31,1.1
91,2018-11-12,6375.86047086,209.78021536,0.5152308,0.00315356,0.009885,1.01,0.012808000000000002,1.15,1.4,0.09790700000000001,0.027061,2.56,0.935386,6.42,1.11
92,2018-11-11,6404.82204992,210.5162103,0.50278356,0.00325568,0.010142,1.0,0.01293,1.16,1.43,0.099313,0.027341000000000004,2.49,0.929266,6.65,1.12
93,2018-11-10,6399.37621037,210.97936845,0.50273499,0.00341684,0.010275,1.01,0.01319,1.17,1.49,0.103121,0.027814,2.51,0.967668,6.79,1.14
94,2018-11-09,6409.77066369,209.66450312,0.49686548,0.00323416,0.010189,1.01,0.013153999999999999,1.16,1.46,0.10360699999999999,0.027825,2.22,0.964701,6.5,1.14
95,2018-11-08,6448.56888202,212.29251527,0.49030653,0.00350155,0.010494,1.0,0.013503999999999999,1.16,1.53,0.10698800000000001,0.028305,2.47,1.01,6.64,1.08
96,2018-11-07,6522.47832878,217.54208814,0.53413104,0.00366651,0.010816,1.0,0.013848,1.3,1.59,0.113303,0.028181,2.73,1.05,7.05,1.11
97,2018-11-06,6471.10864054,219.18532918,0.54973305,0.00375848,0.011204,0.999308,0.013886,1.2,1.55,0.108079,0.027601999999999998,2.75,1.03,6.89,1.14
